timestamp,asset_id,asset_name,symbol,currency,price,change_24h_percent,last_updated,status,reason
2026-04-27T09:39:48+00:00,ethereum,Ethereum,ETH,USD,2323.07,-0.39040424894757125,2026-04-27T09:39:45+00:00,OK,Price fetched successfully
2026-04-27T09:39:48+00:00,solana,Solana,SOL,USD,85.4,-1.2593736359433227,2026-04-27T09:39:46+00:00,OK,Price fetched successfully
2026-04-27T09:45:02+00:00,bitcoin,Bitcoin,BTC,USD,77942,-0.04048977387294357,2026-04-27T09:44:57+00:00,OK,Price fetched successfully
2026-04-27T09:45:02+00:00,ethereum,Ethereum,ETH,USD,2323.78,-0.4215927110875841,2026-04-27T09:44:57+00:00,OK,Price fetched successfully
2026-04-27T09:45:02+00:00,solana,Solana,SOL,USD,85.44,-1.2490645761846635,2026-04-27T09:44:57+00:00,OK,Price fetched successfully
2026-04-27T09:56:29+00:00,bitcoin,Bitcoin,BTC,USD,77965,-0.05412432651863508,2026-04-27T09:56:26+00:00,OK,Price fetched successfully
2026-04-27T09:56:29+00:00,ethereum,Ethereum,ETH,USD,2324.1,-0.44923684196403424,2026-04-27T09:56:27+00:00,OK,Price fetched successfully
2026-04-27T09:56:29+00:00,solana,Solana,SOL,USD,85.57,-1.1129367655772848,2026-04-27T09:56:26+00:00,OK,Price fetched successfully
2026-04-27T10:00:01+00:00,bitcoin,Bitcoin,BTC,USD,77918,-0.11416001775238273,2026-04-27T09:59:58+00:00,OK,Price fetched successfully
2026-04-27T10:00:01+00:00,ethereum,Ethereum,ETH,USD,2322.95,-0.4985383666753127,2026-04-27T09:59:58+00:00,OK,Price fetched successfully
2026-04-27T10:00:01+00:00,solana,Solana,SOL,USD,85.54,-1.1506457282151807,2026-04-27T09:59:58+00:00,OK,Price fetched successfully
2026-04-27T11:15:01+00:00,bitcoin,Bitcoin,BTC,USD,77761,-0.3679571751002626,2026-04-27T11:15:01+00:00,OK,Price fetched successfully
2026-04-27T11:15:01+00:00,ethereum,Ethereum,ETH,USD,2318.39,-0.6595614513376865,2026-04-27T11:15:01+00:00,OK,Price fetched successfully
2026-04-27T11:15:01+00:00,solana,Solana,SOL,USD,85.13,-1.6360621451213742,2026-04-27T11:15:00+00:00,OK,Price fetched successfully
2026-04-27T11:30:01+00:00,bitcoin,Bitcoin,BTC,USD,77869,-0.3293253477546087,2026-04-27T11:29:59+00:00,OK,Price fetched successfully
2026-04-27T11:30:01+00:00,ethereum,Ethereum,ETH,USD,2322.04,-0.6236628831548451,2026-04-27T11:29:59+00:00,OK,Price fetched successfully
2026-04-27T11:30:01+00:00,solana,Solana,SOL,USD,85.26,-1.5298730439727677,2026-04-27T11:29:59+00:00,OK,Price fetched successfully
2026-04-27T11:45:01+00:00,bitcoin,Bitcoin,BTC,USD,77804,-0.36014023265275524,2026-04-27T11:44:57+00:00,OK,Price fetched successfully
2026-04-27T11:45:01+00:00,ethereum,Ethereum,ETH,USD,2319.98,-0.678509191923261,2026-04-27T11:44:58+00:00,OK,Price fetched successfully
2026-04-27T11:45:01+00:00,solana,Solana,SOL,USD,85.23,-1.489888576912013,2026-04-27T11:44:57+00:00,OK,Price fetched successfully
2026-04-27T12:00:01+00:00,bitcoin,Bitcoin,BTC,USD,77839,-0.34790421225941875,2026-04-27T11:59:57+00:00,OK,Price fetched successfully
2026-04-27T12:00:01+00:00,ethereum,Ethereum,ETH,USD,2320.41,-0.6783640865495578,2026-04-27T11:59:57+00:00,OK,Price fetched successfully
2026-04-27T12:00:01+00:00,solana,Solana,SOL,USD,85.23,-1.5032615799687785,2026-04-27T11:59:56+00:00,OK,Price fetched successfully
2026-04-27T12:15:02+00:00,bitcoin,Bitcoin,BTC,USD,77831,-0.21798889555714657,2026-04-27T12:14:57+00:00,OK,Price fetched successfully
2026-04-27T12:15:02+00:00,ethereum,Ethereum,ETH,USD,2319.97,-0.5084428939685957,2026-04-27T12:14:57+00:00,OK,Price fetched successfully
2026-04-27T12:15:02+00:00,solana,Solana,SOL,USD,85.19,-1.4174439874549678,2026-04-27T12:14:57+00:00,OK,Price fetched successfully
2026-04-27T12:30:01+00:00,bitcoin,Bitcoin,BTC,USD,77728,-0.33192366778008275,2026-04-27T12:29:58+00:00,OK,Price fetched successfully
2026-04-27T12:30:01+00:00,ethereum,Ethereum,ETH,USD,2315.57,-0.6993663008798132,2026-04-27T12:29:57+00:00,OK,Price fetched successfully
2026-04-27T12:30:01+00:00,solana,Solana,SOL,USD,85.08,-1.325445573978123,2026-04-27T12:29:56+00:00,OK,Price fetched successfully
2026-04-27T12:45:01+00:00,bitcoin,Bitcoin,BTC,USD,,,,NotOK,API call failed: <urlopen error [Errno -3] Temporary failure in name resolution>
2026-04-27T12:45:01+00:00,ethereum,Ethereum,ETH,USD,,,,NotOK,API call failed: <urlopen error [Errno -3] Temporary failure in name resolution>
2026-04-27T12:45:01+00:00,solana,Solana,SOL,USD,,,,NotOK,API call failed: <urlopen error [Errno -3] Temporary failure in name resolution>
2026-04-27T13:00:01+00:00,bitcoin,Bitcoin,BTC,USD,77637,-0.2587635026265223,2026-04-27T12:59:59+00:00,OK,Price fetched successfully
2026-04-27T13:00:01+00:00,ethereum,Ethereum,ETH,USD,2313.19,-0.6626039343580206,2026-04-27T12:59:59+00:00,OK,Price fetched successfully
2026-04-27T13:00:01+00:00,solana,Solana,SOL,USD,85.11,-1.1472255920265095,2026-04-27T12:59:59+00:00,OK,Price fetched successfully
2026-04-27T13:15:01+00:00,bitcoin,Bitcoin,BTC,USD,77738,-0.18510699811046422,2026-04-27T13:15:00+00:00,OK,Price fetched successfully
2026-04-27T13:15:01+00:00,ethereum,Ethereum,ETH,USD,2315.44,-0.6550157796157253,2026-04-27T13:15:01+00:00,OK,Price fetched successfully
2026-04-27T13:15:01+00:00,solana,Solana,SOL,USD,85.13,-1.0278220862214285,2026-04-27T13:15:00+00:00,OK,Price fetched successfully
2026-04-27T13:30:00+00:00,bitcoin,Bitcoin,BTC,USD,77697,-0.2326873783755717,2026-04-27T13:29:53+00:00,OK,Price fetched successfully
2026-04-27T13:30:00+00:00,ethereum,Ethereum,ETH,USD,2314.5,-0.6920678904730022,2026-04-27T13:29:56+00:00,OK,Price fetched successfully
2026-04-27T13:30:00+00:00,solana,Solana,SOL,USD,85.18,-1.0175411651405883,2026-04-27T13:29:53+00:00,OK,Price fetched successfully
2026-04-27T13:45:00+00:00,bitcoin,Bitcoin,BTC,USD,77810,-0.19264621970646753,2026-04-27T13:44:57+00:00,OK,Price fetched successfully
2026-04-27T13:45:00+00:00,ethereum,Ethereum,ETH,USD,2315.36,-0.81669260566897,2026-04-27T13:44:57+00:00,OK,Price fetched successfully
2026-04-27T13:45:00+00:00,solana,Solana,SOL,USD,85.24,-1.003377057949246,2026-04-27T13:44:56+00:00,OK,Price fetched successfully
2026-04-27T14:15:01+00:00,bitcoin,Bitcoin,BTC,USD,77878,-0.07344900369152553,2026-04-27T14:14:58+00:00,OK,Price fetched successfully
2026-04-27T14:15:01+00:00,ethereum,Ethereum,ETH,USD,2313.94,-0.9260781585455544,2026-04-27T14:14:59+00:00,OK,Price fetched successfully
2026-04-27T14:15:01+00:00,solana,Solana,SOL,USD,85.11,-1.1908766254100576,2026-04-27T14:14:58+00:00,OK,Price fetched successfully
2026-04-28T06:15:50+00:00,bitcoin,Bitcoin,BTC,USD,,,,NotOK,API call failed: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1000)>
2026-04-28T06:15:50+00:00,ethereum,Ethereum,ETH,USD,,,,NotOK,API call failed: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1000)>
2026-04-28T06:15:50+00:00,solana,Solana,SOL,USD,,,,NotOK,API call failed: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1000)>
2026-04-28T06:30:01+00:00,bitcoin,Bitcoin,BTC,USD,76876,-1.1602645194636538,2026-04-28T06:29:57+00:00,OK,Price fetched successfully
2026-04-28T06:30:01+00:00,ethereum,Ethereum,ETH,USD,2285.68,-1.7461566146808463,2026-04-28T06:29:56+00:00,OK,Price fetched successfully
2026-04-28T06:30:01+00:00,solana,Solana,SOL,USD,84.15,-2.152261813551531,2026-04-28T06:29:56+00:00,OK,Price fetched successfully
2026-04-28T06:45:01+00:00,bitcoin,Bitcoin,BTC,USD,76638,-1.266274526535176,2026-04-28T06:44:57+00:00,OK,Price fetched successfully
2026-04-28T06:45:01+00:00,ethereum,Ethereum,ETH,USD,2274.78,-1.9102480116170903,2026-04-28T06:44:57+00:00,OK,Price fetched successfully
2026-04-28T06:45:01+00:00,solana,Solana,SOL,USD,83.8,-2.102059957180179,2026-04-28T06:44:56+00:00,OK,Price fetched successfully
2026-04-28T07:00:01+00:00,bitcoin,Bitcoin,BTC,USD,76711,-1.3082681272822707,2026-04-28T06:59:57+00:00,OK,Price fetched successfully
2026-04-28T07:00:01+00:00,ethereum,Ethereum,ETH,USD,2277.78,-1.893154003856541,2026-04-28T06:59:57+00:00,OK,Price fetched successfully
2026-04-28T07:00:01+00:00,solana,Solana,SOL,USD,83.96,-2.1166578885488683,2026-04-28T06:59:57+00:00,OK,Price fetched successfully
2026-04-28T07:15:01+00:00,bitcoin,Bitcoin,BTC,USD,76574,-1.3504191298892112,2026-04-28T07:14:57+00:00,OK,Price fetched successfully
2026-04-28T07:15:01+00:00,ethereum,Ethereum,ETH,USD,2274.57,-1.8767423937360683,2026-04-28T07:14:56+00:00,OK,Price fetched successfully
2026-04-28T07:15:01+00:00,solana,Solana,SOL,USD,83.85,-2.0515549895762852,2026-04-28T07:15:01+00:00,OK,Price fetched successfully
2026-04-28T07:30:01+00:00,bitcoin,Bitcoin,BTC,USD,76616,-1.3120274958202365,2026-04-28T07:30:02+00:00,OK,Price fetched successfully
2026-04-28T07:30:01+00:00,ethereum,Ethereum,ETH,USD,2276.77,-1.7482810616601645,2026-04-28T07:30:01+00:00,OK,Price fetched successfully
2026-04-28T07:30:01+00:00,solana,Solana,SOL,USD,83.76,-2.0721580046684815,2026-04-28T07:30:01+00:00,OK,Price fetched successfully
2026-04-28T07:45:01+00:00,bitcoin,Bitcoin,BTC,USD,76827,-1.0794164645973985,2026-04-28T07:44:59+00:00,OK,Price fetched successfully
2026-04-28T07:45:01+00:00,ethereum,Ethereum,ETH,USD,2282.5,-1.6129317954879725,2026-04-28T07:44:59+00:00,OK,Price fetched successfully
2026-04-28T07:45:01+00:00,solana,Solana,SOL,USD,83.98,-1.7049260240343194,2026-04-28T07:44:59+00:00,OK,Price fetched successfully
